Date,Close/Last,Volume,Open,High,Low
03/26/2021,$1065.21,2840193,$1052.6,$1084.98,$1005.14
03/25/2021,$1061.68,1768208,$1090.08,$1103.99,$1051.2501
03/24/2021,$1106.01,1070782,$1176.81,$1185,$1102.35
03/23/2021,$1162,896658,$1165,$1168.47,$1142.3
03/22/2021,$1160,904072,$1123.14,$1160.83,$1120.38
03/19/2021,$1120.95,811327,$1118.98,$1137.36,$1104.36
03/18/2021,$1117.1,1043905,$1145,$1148,$1106.26
03/17/2021,$1169.17,916843,$1122.28,$1178.65,$1098
03/16/2021,$1143.17,1069820,$1183.12,$1190,$1124.0001
03/15/2021,$1159,712590,$1137.24,$1159.14,$1110
03/12/2021,$1140.63,1088440,$1121.98,$1146.265,$1093.0313
03/11/2021,$1142.24,1660437,$1119.5,$1158.15,$1086.9162
03/10/2021,$1087.9,2053393,$1169.64,$1169.97,$1079.51
03/09/2021,$1130.74,1858411,$1123.68,$1147.89,$1101.5101
03/08/2021,$1072.43,2459774,$1126.04,$1164,$1070.82
03/05/2021,$1131.01,3943001,$1154.97,$1154.97,$1021.57
03/04/2021,$1149.44,2745239,$1199.92,$1220.3,$1113.61
03/03/2021,$1220.3,1156294,$1288.34,$1299.99,$1218.35
03/02/2021,$1309.06,1276129,$1317.79,$1317.79,$1255
03/01/2021,$1309.94,1274172,$1315,$1330,$1281
02/26/2021,$1280.97,1323699,$1254.68,$1297.9999,$1237
02/25/2021,$1245.1,1864100,$1301.37,$1321.19,$1226.21
02/24/2021,$1301.15,1115604,$1305.34,$1320,$1263.5301
02/23/2021,$1300.24,3448792,$1269.78,$1322.14,$1205.44
02/22/2021,$1381.3,1387957,$1397.78,$1414.8,$1360.5582
02/19/2021,$1435.01,1324768,$1396.96,$1438.64,$1376.51
02/18/2021,$1384.57,1252098,$1393.09,$1415,$1375.24
02/17/2021,$1425,3652357,$1384.16,$1459.621,$1345
02/16/2021,$1474,1574192,$1468.53,$1492.28,$1428
02/12/2021,$1455.49,1012471,$1457,$1473,$1431.39
02/11/2021,$1463.31,922359,$1475.63,$1481.97,$1438.03
02/10/2021,$1462.42,2091653,$1448.01,$1499.75,$1408.15
02/09/2021,$1432.99,2134104,$1365.53,$1453.49,$1355.99
02/08/2021,$1345.09,1252220,$1303.86,$1348.255,$1293.01
02/05/2021,$1287.75,1047467,$1261.49,$1296.775,$1252.5846
02/04/2021,$1260.87,1423662,$1241.27,$1281.65,$1233.4227
02/03/2021,$1224.16,1162906,$1235.35,$1245.9999,$1195.16
02/02/2021,$1235.35,1741827,$1166.46,$1238.27,$1161.23
02/01/2021,$1144.93,1083318,$1106,$1149.01,$1099.68
01/29/2021,$1098.59,1006146,$1120,$1124.81,$1081
01/28/2021,$1120.57,774391,$1110.24,$1138.6599,$1090.57
01/27/2021,$1092.08,1610237,$1149.92,$1149.92,$1081
01/26/2021,$1159.77,985522,$1208.17,$1216.1388,$1157.44
01/25/2021,$1205.92,1488257,$1206.16,$1247.45,$1165.5
01/22/2021,$1196.7,624747,$1187.52,$1201.61,$1177.1555
01/21/2021,$1198.15,701106,$1214,$1216.25,$1181
01/20/2021,$1200.98,811945,$1180.71,$1216.32,$1175.3456
01/19/2021,$1173.97,776468,$1186.9,$1190.66,$1150.17
01/15/2021,$1170.47,893300,$1190.16,$1193,$1147.0001
01/14/2021,$1178.86,1183766,$1228.99,$1230.1,$1170.65
01/13/2021,$1199.82,693829,$1192,$1201.97,$1169.5
01/12/2021,$1188.24,903364,$1188,$1205.79,$1165.4281
01/11/2021,$1177.64,1110787,$1170.5,$1217.69,$1160
01/08/2021,$1188.92,1378126,$1172,$1194.89,$1151.54
01/07/2021,$1159.53,1376546,$1102,$1161.7099,$1102
01/06/2021,$1087.31,1268726,$1097.5,$1109,$1076.05
01/05/2021,$1118.74,905450,$1094.37,$1118.74,$1085.59
01/04/2021,$1092.4,1644873,$1137.99,$1142.8754,$1077.86
12/31/2020,$1131.95,818419,$1163.46,$1163.46,$1128.25
12/30/2020,$1163,790932,$1178.13,$1180.61,$1142.79
12/29/2020,$1171.61,1421995,$1168,$1200.4516,$1146.33
12/28/2020,$1147.06,1896315,$1229.86,$1231.54,$1137.22
12/24/2020,$1225.52,925718,$1216,$1238.98,$1209.5468
12/23/2020,$1197.96,2128357,$1275,$1276.22,$1197.4
12/22/2020,$1277.08,2504683,$1203.95,$1285.185,$1200.165
