Date,Close/Last,Volume,Open,High,Low
03/26/2021,$213.6,9196199,$209.32,$216.79,$203.96
03/25/2021,$208.47,12878860,$204.6,$211.96,$202.1
03/24/2021,$213.51,9262534,$224.3,$225.9,$212.155
03/23/2021,$223.2,5591488,$226.39,$228.38,$221.49
03/22/2021,$226.13,6386095,$225.24,$230.18,$221.74
03/19/2021,$224.84,10480760,$227.19,$229.4,$219.52
03/18/2021,$224.3,12481350,$242.8,$243.4,$222.56
03/17/2021,$246.47,10154040,$235,$248.68,$232.75
03/16/2021,$243.36,7491649,$252.26,$252.5,$238.67
03/15/2021,$251.23,8889573,$243.52,$251.26,$239.6171
03/12/2021,$242.11,8850054,$232,$242.22,$230.05
03/11/2021,$241.72,11727990,$234.97,$243.49,$231.01
03/10/2021,$226.73,12973060,$231.61,$237.92,$223.205
03/09/2021,$225.09,14495530,$215.37,$226.49,$211.5
03/08/2021,$201.87,13488130,$217.71,$221.63,$201
03/05/2021,$216.44,24773610,$221.27,$222.01,$191.36
03/04/2021,$218.41,18495970,$228.76,$232.63,$210
03/03/2021,$234.2,12151700,$249,$250.95,$232.0064
03/02/2021,$252.2,17345760,$251.9,$258.4899,$246.47
03/01/2021,$241,8989220,$238.11,$241.7194,$232.1001
02/26/2021,$230.03,14913780,$226.32,$232.78,$217.4
02/25/2021,$227.11,15916270,$244.87,$245.84,$223.66
02/24/2021,$237.32,26123120,$243.11,$246,$230.68
02/23/2021,$256.59,18971870,$247.55,$261.3,$232.5
02/22/2021,$268.08,9740392,$271.85,$278.1,$266.36
02/19/2021,$276.57,7373362,$275.12,$280.9391,$273.59
02/18/2021,$270.85,7236412,$265.49,$272.79,$261.8525
02/17/2021,$270.94,11094330,$274.37,$274.47,$260.76
02/16/2021,$276.02,9193550,$277.12,$283.1898,$272.3201
02/12/2021,$272.75,6780809,$265.15,$273.84,$262.5312
02/11/2021,$265.93,10214070,$262,$269.6651,$258.5
02/10/2021,$257.49,8644634,$259.77,$263.15,$252.75
02/09/2021,$258.12,10815080,$256.58,$262.57,$250.55
02/08/2021,$259.97,17149920,$245.08,$264.2669,$244
02/05/2021,$240.38,5090772,$238,$240.57,$235.27
02/04/2021,$237.72,8893436,$233.53,$239.31,$231.07
02/03/2021,$227.94,5193375,$228.5,$234.57,$221.88
02/02/2021,$227.63,6545320,$225.19,$230.2199,$221.99
02/01/2021,$221.94,7849340,$215.81,$223.01,$213.44
01/29/2021,$215.96,9383862,$224.97,$225.9,$212.58
01/28/2021,$219.91,12500800,$208.72,$222.58,$206.56
01/27/2021,$202.46,10892750,$204.01,$209.3503,$197.7
01/26/2021,$209.17,10039510,$217.09,$219,$208.71
01/25/2021,$216.64,11328130,$225,$225.94,$209.75
01/22/2021,$222.88,6867511,$219,$222.91,$217.71
01/21/2021,$219.62,10472440,$227,$227.5,$218.2001
01/20/2021,$226.65,6012419,$230.12,$230.88,$225.5
01/19/2021,$227.26,6505627,$231.07,$231.59,$223.25
01/15/2021,$227.75,7049176,$233.63,$236.43,$225.58
01/14/2021,$232.79,6706528,$233.9,$238.76,$229.59
01/13/2021,$230.92,7601353,$228.95,$234.8213,$226.8
01/12/2021,$227.52,8452892,$228.51,$229.3299,$223.72
01/11/2021,$225.5,14107530,$231.61,$232.74,$225.3
01/08/2021,$241.45,9102059,$244.35,$246.49,$237.18
01/07/2021,$239.48,10214210,$232.52,$240.4,$231.5
01/06/2021,$226.89,12003500,$223.41,$233.5,$223.161
01/05/2021,$229.75,9699380,$219.42,$230.34,$219
01/04/2021,$221.16,9838438,$222.495,$225.98,$216
12/31/2020,$217.64,6872354,$217.71,$219.45,$214.42
12/30/2020,$221.04,9836969,$215.94,$221.51,$214.0671
12/29/2020,$214,15453080,$223.88,$224.59,$208.81
12/28/2020,$223.34,11640020,$232.38,$232.95,$219.65
12/24/2020,$228.28,8411200,$234.23,$236,$225.9
12/23/2020,$230.68,13482700,$241.36,$241.82,$230.58
12/22/2020,$241.58,9440011,$236.5,$243.38,$236
12/21/2020,$233.5,11155410,$236.09,$241.85,$232.26
12/18/2020,$235.45,8099521,$235,$236.37,$231.1
12/17/2020,$230.74,10440070,$230,$237.09,$227.7
12/16/2020,$227.08,8216471,$223.86,$227.96,$220.03
12/15/2020,$219.99,5713631,$218.415,$221.7199,$216.7301
12/14/2020,$215.86,7379020,$218.01,$220.43,$214.5008
12/11/2020,$216.59,7914599,$218.26,$222.2,$213.17
12/10/2020,$217.25,7919206,$205.39,$217.61,$203.57
12/09/2020,$207.04,11133020,$213.96,$220.5,$205.01
12/08/2020,$213.01,5373248,$213.33,$213.9,$208.25
12/07/2020,$212.58,5895304,$209.79,$213.6615,$208.25
12/04/2020,$208.15,6566152,$206.29,$209.75,$203.58
12/03/2020,$205.53,6918231,$207,$208.69,$204.05
12/02/2020,$202,10483650,$200.13,$204.0596,$195.13
12/01/2020,$203,10814390,$212.56,$212.95,$200.5
11/30/2020,$210.96,14091110,$213,$213.54,$200.23
11/27/2020,$212.52,6525960,$215,$215,$205.9
11/25/2020,$212.92,12948070,$207.45,$214.52,$204.57
11/24/2020,$202.9,12288950,$208,$208.04,$199.55
11/23/2020,$207.78,12509640,$200.11,$209.36,$199.27
11/20/2020,$195.97,10935080,$193.69,$200.99,$191.55
11/19/2020,$191.66,12280090,$190.78,$194.01,$185.74
11/18/2020,$185.54,5627316,$187.49,$187.5,$182.2703
11/17/2020,$187.9,11140670,$180.12,$190.74,$180.12
11/16/2020,$179.16,7428200,$175.83,$179.22,$173.01
11/13/2020,$177.19,6965709,$180.6,$180.9,$175.5
11/12/2020,$178.51,9151584,$184.26,$185.1899,$177
11/11/2020,$183.42,9040818,$179.65,$184,$177.7
11/10/2020,$172,14840000,$182.37,$183.46,$167.11
11/09/2020,$184.08,14985960,$191.305,$197,$181.83
11/06/2020,$198.08,27088290,$185.24,$201.33,$182.99
11/05/2020,$175.23,15519730,$177.1,$177.29,$172.65
11/04/2020,$171.29,7760592,$166.38,$171.36,$162.15
11/03/2020,$158.21,8001436,$153.22,$161.05,$151.1
11/02/2020,$155.23,8753566,$158,$161.24,$152.1
10/30/2020,$154.88,14948430,$166.49,$167.3974,$152.43
10/29/2020,$169.86,4431756,$170.08,$172.08,$168.11
10/28/2020,$167.13,5420308,$166.59,$168.9399,$164.45
10/27/2020,$171.02,6937558,$175.31,$176.26,$169.26
10/26/2020,$169.89,6489402,$175.01,$176.86,$166.77
10/23/2020,$176.77,4167570,$177.5,$177.79,$173.34
10/22/2020,$175.93,6681642,$178.5,$181.98,$173.61
10/21/2020,$177.82,10477240,$183.55,$184.74,$175.5901
10/20/2020,$185.74,4875972,$188.1,$189.7,$184.33
10/19/2020,$186.96,5454020,$188.11,$191.3999,$185.91
10/16/2020,$186.35,5299708,$191.68,$192.84,$184.7
10/15/2020,$188.6,6818697,$182.6,$188.68,$181.2
10/14/2020,$187.49,6176616,$191.59,$193.4399,$185.11
10/13/2020,$190.47,6399879,$186.81,$191.36,$186
10/12/2020,$185.17,7964706,$190.68,$191.94,$184.26
10/09/2020,$187.28,6719664,$185.12,$188.74,$183.73
